,"from","to","Pharma R&D  Annual Review 2017"
952,"Cancer",611253,
953,"Cancer",600924,
954,"Cancer",602025,
955,"Cancer",602358,
956,"Cancer",602523,
957,"Cancer",602607,
958,"Cancer",803388,
959,"Cancer",802735,
960,"Cancer",604130,
961,"Cancer",603752,
962,"Cancer",606219,
963,"Cancer",804126,
964,"Cancer",610033,
965,"Cancer",604968,
966,"Cancer",601543,
967,"Cancer",611124,
968,"Cancer",605259,
969,"Cancer",610715,
970,"Cancer",604432,
971,"Cancer",604792,
972,"Cancer",607470,
973,"Cancer",603631,
974,"Cancer",803405,
975,"Cancer",805002,
976,"Cancer",605285,
977,"Cancer",600849,
978,"Cancer",607011,
979,"Cancer",606538,
980,"Cancer",608393,
981,"Cancer",608758,
982,"Cancer",603279,
983,"Cancer",800714,
984,"Cancer",607098,
985,"Cancer",611439,
986,"Cancer",606443,
987,"Cancer",606411,
988,"Cancer",611390,
989,"Cancer",606011,
990,"Cancer",606060,
991,"Cancer",610443,
992,"Cancer",800937,
993,"Cancer",601079,
994,"Cancer",801023,
995,"Cancer",604260,
996,"Cancer",802506,
997,"Cancer",602173,
998,"Cancer",803955,
999,"Cancer",611861,
1000,"Cancer",605077,
1001,"Cancer",803117,
1002,"Cancer",609816,
1003,"Cancer",603793,
1004,"Cancer",610498,
1005,"Cancer",610298,
1006,"Cancer",602867,
1007,"Cancer",609628,
1008,"Cancer",610065,
1009,"Cancer",604748,
1010,"Cancer",805188,
1011,"Cancer",611344,
1012,"Cancer",600008,
1013,"Cancer",603175,
1014,"Cancer",603292,
1015,"Cancer",602468,
1016,"Cancer",605685,
1017,"Cancer",803954,
1018,"Cancer",601209,
1019,"Cancer",602253,
1020,"Cancer",606025,
1021,"Cancer",608903,
1022,"Cancer",609111,
1023,"Cancer",604105,
1024,"Cancer",609229,
1025,"Cancer",609683,
1026,"Cancer",603699,
1027,"Cancer",805819,
1028,"Cancer",600862,
1029,"Cancer",603506,
1030,"Cancer",600600,
1031,"Cancer",607298,
1032,"Cancer",600748,
1033,"Cancer",608054,
1034,"Cancer",801470,
1035,"Cancer",605253,
1036,"Cancer",602628,
1037,"Cancer",604317,
1038,"Cancer",600115,
1039,"Cancer",608148,
1040,"Cancer",611923,
1041,"Cancer",603179,
1042,"Cancer",606464,
1043,"Cancer",606499,
1044,"Cancer",609260,
1045,"Cancer",600759,
1046,"Cancer",611494,
1047,"Cancer",606285,
1048,"Cancer",606490,
1049,"Cancer",611559,
1050,"Cancer",804356,
1051,"Cancer",605946,
1052,"Cancer",611310,
1053,"Cancer",600856,
1054,"Cancer",611548,
1055,"Cancer",611850,
1056,"Cancer",604791,
1057,"Cancer",600917,
1058,"Cancer",607147,
1059,"Cancer",601946,
1060,"Cancer",607076,
1061,"Cancer",802393,
1062,"Cancer",608302,
1063,"Cancer",600783,
1064,"Cancer",604828,
1065,"Cancer",603220,
1066,"Cancer",609679,
1067,"Cancer",802315,
1068,"Cancer",608550,
1069,"Cancer",607349,
1070,"Cancer",606185,
1071,"Cancer",612397,
1072,"Cancer",800242,
1073,"Cancer",600823,
1074,"Cancer",605232,
1075,"Cancer",801702,
1076,"Cancer",800964,
1077,"Cancer",602269,
1078,"Cancer",602163,
1079,"Cancer",604902,
1080,"Cancer",606484,
1081,"Cancer",610699,
1082,"Cancer",610593,
1083,"Cancer",604439,
1084,"Cancer",612255,
1085,"Cancer",603461,
1086,"Cancer",800174,
1087,"Cancer",606743,
1088,"Cancer",602512,
1089,"Cancer",611712,
1090,"Cancer",604963,
1091,"Cancer",602292,
1092,"Cancer",607856,
1093,"Cancer",603203,
1094,"Cancer",608065,
1095,"Cancer",804182,
1096,"Cancer",805452,
1097,"Cancer",607835,
1098,"Cancer",601663,
1099,"Cancer",804007,
1100,"Cancer",604457,
1101,"Cancer",603638,
1102,"Cancer",802060,
1103,"Cancer",802832,
1104,"Cancer",805743,
1105,"Cancer",607386,
1106,"Cancer",609041,
1107,"Cancer",605294,
1108,"Cancer",605775,
1109,"Cancer",607280,
1110,"Cancer",608516,
1111,"Cancer",803845,
1112,"Cancer",800674,
1113,"Cancer",601864,
1114,"Cancer",601644,
1115,"Cancer",601900,
1116,"Cancer",600944,
1117,"Cancer",601271,
1118,"Cancer",803196,
1119,"Cancer",607718,
1120,"Cancer",601249,
1121,"Cancer",600364,
1122,"Cancer",601125,
1123,"Cancer",606006,
1124,"Cancer",604078,
1125,"Cancer",606195,
1126,"Cancer",602574,
1127,"Cancer",608620,
1128,"Cancer",611713,
1129,"Cancer",603124,
1130,"Cancer",602422,
1131,"Cancer",605795,
1132,"Cancer",801981,
1133,"Cancer",603406,
1134,"Cancer",607595,
1135,"Cancer",604415,
1136,"Cancer",804141,
1137,"Cancer",609153,
1138,"Cancer",610491,
1139,"Cancer",805578,
